posture,tester,E280116060000204AC6AD0EC,E280116060000204AC6AD0E6,E280116060000204AC6AD1FE,E280116060000204AC6AD1FD,E280116060000204AC6AC8F0,E280116060000204AC6AD1FC
0,9,-67.61666666666666,-68.73333333333333,-65.64666666666666,-61.47333333333332,-62.35999999999999,-60.75333333333332
0,9,-67.50714285714284,-68.86428571428571,-65.38571428571427,-61.461538461538446,-62.3142857142857,-60.95384615384614
0,9,-67.27999999999999,-68.44,-65.11333333333333,-61.399999999999984,-62.287499999999994,-60.993749999999984
0,9,-67.62499999999999,-67.96428571428571,-65.53846153846153,-61.50909090909091,-62.17142857142856,-61.29999999999999
0,9,-67.75714285714284,-68.6076923076923,-65.14666666666668,-61.47999999999999,-62.39999999999999,-60.70624999999998
0,9,-67.53333333333332,-68.01428571428572,-64.75333333333332,-61.706666666666656,-62.61428571428571,-61.013333333333314
0,9,-67.81333333333332,-68.47857142857143,-65.10666666666667,-61.23999999999999,-62.35999999999999,-61.22857142857141
0,9,-67.48666666666665,-69.02307692307691,-64.89333333333333,-61.33333333333332,-62.279999999999994,-60.87999999999998
0,9,-67.3733333333333,-68.66428571428571,-64.99285714285715,-61.13333333333332,-62.5875,-60.74666666666665
0,9,-67.34666666666665,-69.2076923076923,-64.94999999999999,-61.53333333333332,-62.76923076923077,-61.135714285714265
0,9,-67.37857142857142,-68.33333333333333,-65.05,-61.00666666666665,-62.314285714285695,-61.06666666666665
0,9,-67.29285714285713,-68.22857142857143,-64.99999999999999,-61.26666666666665,-62.399999999999984,-61.04615384615383
0,9,-67.32142857142856,-68.51249999999999,-65.23571428571428,-61.26666666666665,-62.15999999999999,-60.81999999999998
0,9,-67.49333333333331,-69.13571428571429,-65.21333333333332,-61.466666666666654,-62.76,-61.414285714285704
0,9,-67.95333333333332,-68.78,-65.21333333333332,-60.86666666666665,-62.3076923076923,-60.63333333333332
0,9,-67.0133333333333,-68.72857142857143,-64.62142857142857,-61.33333333333332,-62.49999999999999,-60.9642857142857
0,9,-67.50624999999998,-68.39999999999999,-65.13076923076923,-61.433333333333316,-62.19999999999998,-60.93999999999998
0,9,-67.3642857142857,-69.28,-65.49999999999999,-61.44285714285713,-62.57142857142856,-60.87333333333332
0,9,-67.21249999999999,-68.5,-65.25625,-61.36249999999998,-62.33749999999999,-61.056249999999984
0,9,-67.0142857142857,-68.69230769230768,-65.47857142857141,-61.46153846153845,-62.228571428571406,-60.746666666666655
0,9,-67.79285714285713,-68.64000000000001,-65.35,-61.13333333333332,-62.399999999999984,-60.74615384615383
0,9,-67.49999999999999,-68.76153846153846,-65.43846153846154,-61.37142857142856,-62.35714285714285,-60.8142857142857
0,9,-67.18666666666665,-68.43124999999999,-65.33125,-61.343749999999986,-62.23999999999999,-60.56666666666664
0,9,-67.31333333333332,-68.70714285714286,-64.56153846153846,-61.29999999999999,-62.40666666666665,-60.686666666666646
0,9,-68.22666666666666,-68.76666666666665,-65.39999999999999,-61.22857142857141,-62.13749999999998,-60.742857142857126
0,9,-67.43999999999998,-68.97500000000001,-65.62499999999999,-61.55333333333331,-62.15999999999998,-60.499999999999986
0,9,-67.23999999999998,-68.44,-65.26666666666667,-61.13999999999998,-62.319999999999986,-61.073333333333316
0,9,-67.20666666666665,-68.21538461538461,-65.40666666666667,-61.406666666666645,-62.399999999999984,-61.06666666666665
0,9,-67.37692307692306,-68.25833333333333,-65.5142857142857,-61.106666666666655,-62.314285714285695,-60.749999999999986
0,9,-67.25714285714284,-68.82307692307693,-64.99285714285715,-61.36249999999998,-62.44615384615384,-60.75624999999998
0,9,-67.55999999999999,-68.53571428571429,-65.04666666666667,-61.235714285714266,-62.23999999999999,-60.62666666666666
0,9,-67.63333333333331,-68.30666666666666,-65.36249999999998,-61.406666666666645,-62.19999999999998,-61.073333333333316
0,9,-67.94285714285714,-68.26923076923076,-65.27999999999999,-60.96153846153845,-62.07999999999998,-60.749999999999986
0,9,-67.8642857142857,-68.55,-65.17333333333333,-61.142857142857125,-62.319999999999986,-60.868749999999984
0,9,-67.96666666666665,-68.27142857142856,-64.99333333333333,-61.53333333333332,-62.22857142857141,-60.686666666666646
0,9,-68.04285714285713,-68.49999999999999,-65.11333333333333,-61.34666666666666,-62.28749999999998,-60.814285714285695
0,9,-67.93999999999998,-68.61428571428571,-65.53333333333333,-61.466666666666654,-62.319999999999986,-61.006666666666646
0,9,-67.27499999999999,-68.45833333333333,-65.63333333333334,-61.399999999999984,-62.60666666666666,-60.999999999999986
0,9,-67.74666666666666,-68.69375000000001,-65.44666666666666,-61.77333333333332,-62.528571428571425,-60.76874999999998
0,9,-67.87857142857142,-68.75833333333334,-65.7,-61.37857142857141,-62.57142857142856,-60.69285714285713
0,9,-67.07999999999998,-68.52142857142857,-65.45625,-61.462499999999984,-62.279999999999994,-60.81249999999998
0,9,-67.22727272727272,-68.3923076923077,-65.9357142857143,-61.3642857142857,-62.399999999999984,-60.81999999999998
0,9,-68.21999999999998,-68.86666666666669,-65.3,-61.26666666666665,-62.35999999999999,-60.63571428571428
0,9,-67.30666666666666,-68.55384615384614,-65.32666666666665,-61.19999999999999,-62.17333333333331,-61.157142857142844
0,9,-67.88749999999999,-68.70666666666666,-65.22666666666666,-61.34666666666665,-62.17333333333332,-60.88666666666665
0,9,-67.175,-69.03846153846153,-65.48461538461537,-61.33846153846153,-62.319999999999986,-60.87857142857141
0,9,-67.72307692307692,-68.55384615384615,-65.31333333333333,-61.639999999999986,-62.43999999999999,-60.80666666666665
0,9,-68.16923076923075,-68.96428571428571,-65.42666666666665,-61.687499999999986,-62.48571428571427,-61.149999999999984
0,9,-67.63333333333333,-69.08333333333333,-65.34285714285713,-61.26153846153845,-62.62142857142857,-60.8153846153846
0,9,-66.66666666666666,-68.84666666666665,-65.55625,-61.74666666666665,-62.61428571428571,-60.95384615384614
0,9,-67.6642857142857,-68.88666666666667,-65.2875,-61.66249999999998,-62.43749999999999,-60.806249999999984
0,9,-67.94615384615383,-68.64375,-65.35,-61.54999999999998,-62.44615384615384,-60.82499999999999
0,9,-67.49999999999999,-67.99090909090908,-65.55999999999999,-61.62857142857141,-62.32307692307692,-60.759999999999984
0,9,-67.06153846153846,-68.72142857142858,-65.57857142857142,-61.62857142857142,-62.44285714285713,-60.54999999999999
0,9,-67.24285714285712,-69.63333333333335,-65.45625000000001,-61.368749999999984,-62.64,-60.931249999999984
0,9,-68.03999999999999,-68.99285714285713,-65.76249999999999,-61.59333333333333,-62.43749999999999,-60.73846153846152
0,9,-68.75333333333333,-68.25714285714285,-65.53999999999999,-61.77142857142855,-62.3142857142857,-60.47857142857141
0,9,-68.775,-68.29285714285713,-66.03571428571428,-61.91999999999998,-62.72,-60.88461538461537
0,9,-68.55714285714285,-68.1,-65.71333333333332,-62.12857142857142,-62.528571428571425,-61.19999999999998
0,9,-68.12142857142855,-68.04999999999998,-65.24,-61.99999999999998,-63.05333333333332,-60.95714285714284
0,9,-68.11538461538461,-67.79999999999998,-65.27857142857142,-62.15714285714285,-63.12666666666667,-60.686666666666646
0,9,-68.23333333333332,-68.50666666666666,-65.69375,-62.013333333333314,-62.72666666666666,-60.73999999999999
0,9,-68.725,-68.08333333333333,-65.43999999999998,-62.06249999999999,-62.87142857142857,-61.056249999999984
0,9,-69.30666666666666,-68.29999999999998,-65.33125,-62.05714285714284,-62.8,-61.02857142857142
0,9,-68.49999999999999,-67.83999999999999,-65.25000000000001,-61.94285714285713,-62.96153846153846,-60.87857142857141
0,9,-68.36666666666665,-68.49285714285713,-65.31428571428572,-62.01333333333332,-63.05714285714286,-60.74615384615384
0,9,-68.61999999999999,-67.69999999999999,-65.12142857142858,-61.67142857142856,-62.75999999999999,-61.24666666666665
0,9,-68.11538461538461,-67.88571428571429,-64.8625,-62.039999999999985,-62.79999999999999,-60.95714285714284
0,9,-68.20714285714284,-68.09230769230768,-65.26666666666667,-61.81333333333331,-62.74285714285713,-61.342857142857135
0,9,-68.11333333333332,-67.89230769230768,-65.42666666666666,-62.062499999999986,-63.21333333333333,-61.44285714285713
0,9,-68.7642857142857,-68.14999999999999,-65.51875,-61.95999999999999,-63.012499999999996,-60.92499999999998
0,9,-68.10666666666665,-68.06666666666666,-65.5142857142857,-62.22857142857141,-62.82857142857142,-60.87333333333332
0,9,-68.36666666666669,-67.84615384615384,-66.04666666666665,-61.88749999999998,-62.39999999999999,-61.02142857142856
0,9,-68.1,-67.73571428571428,-65.38666666666666,-62.057142857142836,-62.584615384615375,-61.157142857142844
0,9,-67.925,-67.47692307692306,-65.89333333333333,-61.971428571428554,-62.606666666666655,-60.80666666666665
0,9,-67.85384615384615,-67.39090909090908,-65.6,-62.23999999999999,-62.26153846153845,-61.02142857142855
0,9,-67.43846153846151,-67.66666666666666,-66.37333333333332,-61.933333333333316,-62.559999999999995,-60.94374999999998
0,9,-67.62142857142855,-67.28571428571428,-65.72857142857143,-62.22857142857141,-62.6142857142857,-60.82666666666666
0,9,-68.29999999999998,-67.65384615384613,-65.8,-62.17499999999999,-62.3076923076923,-60.86666666666665
0,9,-67.49230769230768,-67.24999999999999,-66.44999999999997,-62.3142857142857,-62.23999999999999,-60.94285714285713
0,9,-67.74999999999999,-67.52857142857142,-66.04999999999998,-61.971428571428554,-62.676923076923075,-60.749999999999986
0,9,-67.85999999999999,-67.6142857142857,-65.56153846153846,-62.0142857142857,-62.839999999999996,-60.86666666666665
0,9,-68.47857142857141,-67.27142857142856,-65.7,-62.05333333333332,-62.785714285714285,-61.03846153846153
0,9,-67.44285714285714,-67.02,-65.88666666666666,-62.23999999999999,-62.55999999999999,-60.75624999999998
0,9,-68.10833333333332,-66.58571428571427,-65.35,-61.971428571428554,-62.399999999999984,-60.42857142857142
0,9,-67.58571428571427,-66.83571428571427,-66.18461538461537,-62.2153846153846,-62.19999999999998,-60.44666666666665
0,9,-67.74374999999999,-67.37333333333332,-65.89999999999999,-62.35714285714284,-62.18749999999999,-60.38666666666665
0,9,-67.6,-67.37999999999998,-65.82142857142857,-62.15999999999998,-62.61428571428571,-60.57499999999999
0,9,-67.4076923076923,-67.36153846153844,-66.25714285714284,-62.076923076923066,-62.3076923076923,-60.48571428571427
0,9,-67.74,-67.77142857142856,-66.58666666666666,-62.19999999999998,-62.23999999999999,-60.35624999999999
0,9,-67.3583333333333,-66.94615384615383,-66.21999999999998,-62.22857142857142,-62.43999999999999,-60.146666666666654
0,9,-67.83749999999999,-67.40624999999999,-65.93333333333332,-62.13333333333332,-62.33124999999998,-60.587499999999984
0,9,-67.29285714285713,-68.86923076923077,-65.85,-61.37142857142856,-62.43999999999999,-60.87333333333332
0,9,-67.26153846153845,-68.82499999999999,-66.24999999999997,-61.40666666666665,-62.54999999999998,-60.75333333333332
0,9,-67.19333333333333,-69.18333333333334,-65.8733333333333,-61.53333333333332,-62.48,-60.499999999999986
0,9,-67.47999999999999,-68.93333333333334,-65.82,-61.573333333333316,-62.32,-61.05714285714284
0,9,-67.68571428571428,-68.86363636363636,-66.46428571428571,-61.51666666666665,-62.41428571428571,-60.814285714285695
0,9,-67.37857142857142,-69.42857142857143,-66.49999999999999,-61.62857142857141,-62.51249999999999,-60.931249999999984
0,9,-67.34999999999998,-70.1,-66.14,-61.91999999999998,-62.32499999999999,-60.573333333333316
0,9,-67.11999999999999,-69.36153846153846,-66.08461538461538,-61.85333333333332,-62.6,-60.54999999999999
0,9,-67.75714285714285,-69.34285714285714,-65.88749999999999,-61.52499999999998,-62.399999999999984,-60.63333333333332
0,9,-67.36666666666666,-69.62142857142858,-66.00714285714284,-61.55714285714284,-62.446666666666644,-60.61999999999999
0,9,-67.75333333333332,-69.03333333333333,-65.59333333333333,-61.33333333333332,-62.559999999999995,-60.44666666666665
0,9,-67.23333333333332,-68.93124999999999,-65.4375,-61.78749999999998,-62.39999999999999,-60.58124999999998
0,9,-67.16923076923075,-69.34166666666665,-65.77499999999999,-61.33333333333332,-62.26153846153845,-60.742857142857126
0,9,-66.97999999999999,-69.69999999999999,-65.96428571428571,-61.524999999999984,-62.599999999999994,-60.8142857142857
0,9,-67.2642857142857,-69.29230769230769,-65.99999999999999,-61.20666666666664,-62.442857142857136,-60.67999999999998
0,9,-66.94374999999998,-69.25,-65.64,-61.72499999999998,-62.29333333333332,-60.63749999999998
0,9,-67.72142857142856,-69.1,-65.23571428571428,-61.1076923076923,-62.17142857142857,-60.50666666666665
0,9,-67.49374999999999,-69.29333333333334,-65.59333333333333,-61.33999999999999,-62.25624999999998,-60.57499999999998
0,9,-67.56249999999999,-69.175,-65.35,-61.27142857142856,-62.32499999999998,-60.93124999999998
0,9,-67.77333333333331,-69.33571428571427,-65.57142857142856,-61.50666666666665,-62.05714285714284,-60.939999999999976
0,9,-68.12307692307692,-68.96923076923078,-65.52857142857142,-61.3076923076923,-62.293333333333315,-60.685714285714276
0,9,-67.475,-69.42142857142856,-65.3,-61.466666666666654,-62.40666666666665,-60.58124999999998
0,9,-67.99999999999999,-69.04285714285714,-65.42307692307692,-61.585714285714275,-62.49230769230768,-60.81333333333332
0,9,-67.35333333333332,-69.49375,-65.77499999999999,-61.53333333333332,-62.21249999999999,-60.868749999999984
0,9,-67.87857142857142,-69.19,-65.70624999999998,-61.37142857142856,-62.63999999999999,-60.506666666666646
0,9,-67.19285714285714,-69.52857142857144,-65.91999999999999,-61.52857142857142,-62.77999999999999,-60.56666666666665
0,9,-67.41333333333333,-69.27142857142857,-65.96428571428571,-61.33999999999999,-62.32499999999998,-60.81874999999998
0,9,-67.33333333333331,-69.36153846153846,-65.79375,-61.587499999999984,-62.437499999999986,-60.67999999999998
0,9,-67.45,-68.67692307692307,-65.69999999999999,-61.44285714285713,-62.4,-60.62142857142856
0,9,-66.96923076923075,-68.78461538461539,-65.52857142857142,-61.546666666666646,-62.55999999999999,-61.13333333333332
0,9,-67.77692307692305,-69.10714285714285,-65.51428571428572,-61.37142857142856,-62.559999999999995,-60.63333333333331
0,9,-66.9875,-69.5,-65.91999999999999,-61.431249999999984,-62.35714285714285,-60.40624999999998
0,9,-67.43571428571427,-69.89999999999999,-65.94615384615383,-61.19999999999998,-62.22857142857141,-60.6142857142857
0,9,-67.55714285714285,-69.5375,-65.85,-61.48749999999998,-62.5875,-60.36249999999999
0,9,-67.46428571428571,-69.71818181818182,-65.93571428571427,-61.5142857142857,-62.52857142857142,-60.44666666666665
0,9,-67.30624999999998,-69.83076923076923,-66.11874999999999,-61.29999999999998,-62.39999999999999,-60.58749999999998
0,9,-67.27142857142856,-70.09,-66.52857142857142,-61.07333333333331,-62.48571428571427,-60.76153846153844
0,9,-67.50666666666665,-69.79230769230769,-65.57142857142856,-61.33333333333332,-62.63999999999999,-60.74666666666665
0,9,-67.67142857142856,-69.56428571428572,-65.67333333333333,-61.29999999999998,-62.287499999999994,-60.753333333333316
0,9,-67.55333333333333,-69.95714285714287,-65.94285714285714,-61.466666666666654,-62.48,-60.999999999999986
0,9,-67.51428571428569,-69.55714285714286,-66.14666666666666,-61.179999999999986,-62.57142857142857,-60.94999999999999
0,9,-67.11249999999998,-70.04615384615384,-65.71874999999999,-60.94999999999999,-62.54999999999999,-60.94374999999998
0,9,-67.86666666666666,-69.38461538461539,-65.95333333333333,-61.19999999999998,-62.519999999999996,-60.693333333333314
0,9,-67.44999999999997,-68.78333333333333,-66.15333333333332,-61.53333333333332,-62.319999999999986,-60.74285714285713
0,9,-67.41538461538461,-69.86153846153846,-66.08461538461538,-61.615384615384606,-62.26153846153845,-60.814285714285695
0,9,-67.4142857142857,-69.61428571428571,-66.51333333333332,-61.19999999999998,-62.35999999999999,-60.56666666666665
0,9,-67.6,-69.8,-66.42666666666666,-61.59999999999999,-62.879999999999995,-61.03571428571427
0,9,-67.99374999999999,-70.12857142857143,-65.94999999999999,-61.706666666666656,-62.59999999999999,-60.999999999999986
0,9,-67.33076923076922,-69.99166666666666,-65.59285714285713,-61.51666666666666,-62.5,-60.66923076923076
0,9,-67.57857142857141,-69.51666666666667,-66.45333333333332,-61.719999999999985,-62.80666666666666,-60.87999999999998
0,9,-67.5642857142857,-69.64666666666668,-65.94,-61.40666666666665,-62.39999999999999,-60.81999999999998
0,9,-67.57333333333331,-70.21818181818183,-65.77333333333333,-61.27142857142855,-62.61428571428571,-60.87999999999999
0,9,-67.8642857142857,-70.58461538461538,-66.24666666666666,-61.56923076923076,-62.9076923076923,-60.88666666666665
0,9,-67.79999999999998,-70.14666666666668,-66.13333333333331,-61.73333333333332,-62.72,-60.961538461538446
0,9,-67.99999999999999,-69.36428571428571,-65.82666666666665,-61.524999999999984,-62.55,-61.26666666666665
0,9,-67.73571428571428,-69.50000000000001,-65.5125,-61.57142857142856,-62.63999999999999,-60.999999999999986
0,9,-67.59166666666665,-69.16923076923078,-65.58333333333333,-61.466666666666654,-62.49230769230768,-60.671428571428564
